orderid,brand_name,product_name,sales_amount,sales_date
1000165,Apple,iphone13,648.80,2022-02-05
1000166,Nokia,Nk400,562.61,2022-02-05
1000167,Nokia,Nk400,595.85,2022-03-16
1000168,Apple,iphoneSE,771.07,2022-01-11
1000169,Nokia,Nk400,214.48,2022-01-22
1000170,Samsung,galaxy13,258.02,2022-03-21
1000171,Samsung,galaxy12,399.88,2022-02-06
1000172,Samsung,galaxy13,920.68,2022-02-17
1000173,Apple,IpadMini,228.09,2022-02-16
1000174,Samsung,galaxy13,929.77,2022-02-04
1000175,Samsung,watch320,494.12,2022-02-09
1000176,Nokia,Nk320,490.39,2022-02-12
1000177,Nokia,Nk400,193.29,2022-03-25
1000178,Apple,iphoneSE,952.84,2022-02-08
1000179,Apple,iphone13,304.54,2022-02-05
1000180,Apple,iphone13,915.10,2022-03-22
1000181,Samsung,galaxy12,971.83,2022-01-22
1000182,Samsung,galaxy12,685.06,2022-02-21
1000183,Samsung,galaxy13,955.08,2022-01-04
1000184,Samsung,watch320,219.81,2022-01-10
1000185,Nokia,Nk500,703.28,2022-02-28
1000186,Samsung,galaxy11,551.27,2022-02-16
1000187,Nokia,Nk320,563.54,2022-02-01
1000188,Apple,iphone13,649.63,2022-02-01
1000189,Nokia,Nk500,891.64,2022-01-12
1000190,Samsung,galaxy10,379.17,2022-03-16
1000191,Apple,laptop256,300.07,2022-01-09
1000192,Nokia,Nk500,436.16,2022-02-02
1000193,Samsung,watch340,116.30,2022-02-25
1000194,Nokia,Nk500,305.49,2022-02-03
1000195,Nokia,Nk500,272.39,2022-01-11
1000196,Apple,iphone11,115.34,2022-02-13
1000197,Samsung,watch320,635.30,2022-01-03
1000198,Samsung,watch340,375.88,2022-02-19
1000199,Samsung,galaxy10,857.99,2022-02-18
1000200,Apple,IpadMini,720.19,2022-02-09
1000201,Nokia,Nk400,788.93,2022-01-21
1000202,Apple,iphone13,983.18,2022-03-24
1000203,Samsung,galaxy10,901.17,2022-02-15
1000204,Samsung,galaxy12,765.07,2022-03-17
1000205,Apple,iphone12,409.72,2022-01-13
1000206,Samsung,galaxy11,372.14,2022-03-14
1000207,Nokia,Nk500,256.89,2022-02-28
1000208,Samsung,watch320,487.17,2022-03-21
1000209,Nokia,Nk320,512.74,2022-03-21
1000210,Nokia,Nk320,740.40,2022-01-24
1000211,Apple,iphone11,904.32,2022-03-20
1000212,Samsung,galaxy12,357.35,2022-03-12
1000213,Apple,Macbook512,419.98,2022-02-04
1000214,Samsung,galaxy10,471.17,2022-02-14
1000215,Apple,Macbook512,418.05,2022-02-05
1000216,Apple,iphone13,777.30,2022-01-24
1000217,Nokia,Nk500,519.44,2022-02-18
1000218,Nokia,Nk320,431.76,2022-03-17
1000219,Samsung,watch340,400.29,2022-03-09
1000220,Apple,iphone13,820.15,2022-02-23
1000221,Samsung,galaxy12,181.81,2022-01-16
1000222,Apple,IpadMax,182.37,2022-03-17
1000223,Samsung,galaxy12,388.82,2022-02-16
1000224,Nokia,Nk400,929.44,2022-01-06
1000225,Nokia,Nk500,553.26,2022-01-03
1000226,Samsung,watch320,920.43,2022-01-29
1000227,Nokia,Nk400,614.23,2022-03-20
1000228,Samsung,galaxy10,312.56,2022-03-29
1000229,Nokia,Nk500,796.13,2022-02-27
1000230,Nokia,Nk500,981.34,2022-01-23
1000231,Samsung,galaxy10,747.76,2022-03-18
1000232,Apple,IpadMini,486.95,2022-03-20
1000233,Apple,IpadMini,791.71,2022-01-22
1000234,Apple,iphoneSE,926.23,2022-03-10
1000235,Samsung,watch320,261.10,2022-02-04
1000236,Samsung,galaxy10,438.85,2022-02-19
1000237,Nokia,Nk320,177.63,2022-01-31
1000238,Nokia,Nk500,200.48,2022-03-06
1000239,Nokia,Nk320,219.18,2022-02-06
1000240,Nokia,Nk320,222.92,2022-03-01
1000241,Apple,iphone11,155.80,2022-01-06
1000242,Apple,IpadMini,180.75,2022-03-26
1000243,Samsung,galaxy11,649.63,2022-01-30
1000244,Apple,Macbook512,894.02,2022-01-30
1000245,Samsung,galaxy12,977.12,2022-03-19
1000246,Apple,iphoneSE,243.95,2022-01-09
1000247,Samsung,watch320,344.98,2022-02-27
1000248,Apple,Macbook512,229.75,2022-01-03
1000249,Samsung,galaxy10,716.96,2022-01-15
1000250,Nokia,Nk320,773.13,2022-03-15
1000251,Apple,IpadMax,764.80,2022-03-19
1000252,Nokia,Nk400,574.89,2022-03-29
1000253,Nokia,Nk400,298.40,2022-03-15
1000254,Samsung,galaxy11,898.25,2022-01-16
1000255,Apple,iphone12,799.76,2022-03-06
1000256,Apple,IpadMax,481.80,2022-03-29
1000257,Nokia,Nk500,686.58,2022-01-09
1000258,Nokia,Nk320,425.38,2022-03-04
1000259,Apple,IpadMax,598.04,2022-02-01
1000260,Nokia,Nk320,434.12,2022-01-06
1000261,Apple,IpadMini,686.37,2022-02-18
1000262,Apple,laptop256,778.44,2022-03-22
1000263,Samsung,watch320,700.14,2022-02-23
1000264,Apple,iphone11,587.16,2022-03-12
1000265,Samsung,watch320,483.53,2022-02-23
1000266,Nokia,Nk320,162.14,2022-01-12
1000267,Samsung,galaxy13,728.44,2022-01-20
1000268,Nokia,Nk400,619.12,2022-03-16
1000269,Nokia,Nk500,324.80,2022-03-12
1000270,Apple,Macbook512,126.22,2022-01-08
1000271,Samsung,watch340,284.57,2022-01-08
1000272,Samsung,galaxy12,523.32,2022-03-19
1000273,Apple,laptop256,173.96,2022-01-14
1000274,Apple,IpadMini,543.19,2022-02-06
1000275,Nokia,Nk320,618.70,2022-02-10
1000276,Samsung,watch340,686.73,2022-01-31
1000277,Samsung,galaxy12,229.54,2022-01-09
1000278,Nokia,Nk500,135.40,2022-03-18
1000279,Apple,iphoneSE,907.24,2022-01-07
1000280,Nokia,Nk320,893.38,2022-02-21
1000281,Samsung,galaxy12,312.68,2022-01-15
1000282,Nokia,Nk320,798.92,2022-03-08
1000283,Apple,iphone12,277.55,2022-02-08
1000284,Apple,iphoneSE,900.78,2022-03-27
1000285,Apple,IpadMax,559.82,2022-02-07
1000286,Apple,iphoneSE,455.73,2022-02-09
1000287,Nokia,Nk320,347.40,2022-01-19
1000288,Samsung,galaxy12,219.43,2022-01-31
1000289,Apple,iphoneSE,228.30,2022-02-07
1000290,Apple,IpadMax,129.90,2022-03-20
1000291,Samsung,galaxy10,520.64,2022-02-04
1000292,Nokia,Nk500,929.13,2022-01-21
1000293,Samsung,galaxy10,850.78,2022-02-11
1000294,Nokia,Nk320,776.84,2022-03-30
1000295,Apple,Macbook512,847.59,2022-03-21
1000296,Apple,iphone11,578.96,2022-02-13
1000297,Apple,iphone11,962.04,2022-01-16
1000298,Nokia,Nk400,205.89,2022-01-27
1000299,Apple,Macbook512,554.06,2022-02-23
1000300,Samsung,watch340,951.19,2022-01-09
1000301,Samsung,galaxy13,424.31,2022-01-22
1000302,Nokia,Nk320,994.75,2022-01-19
1000303,Samsung,galaxy13,203.95,2022-03-25
1000304,Samsung,galaxy11,304.72,2022-01-15
1000305,Samsung,galaxy13,357.09,2022-01-03
1000306,Samsung,watch340,477.84,2022-01-27
1000307,Nokia,Nk400,938.13,2022-01-12
1000308,Nokia,Nk320,260.47,2022-03-17
1000309,Apple,laptop256,460.00,2022-02-17
1000310,Apple,Macbook512,718.20,2022-03-16
1000311,Samsung,galaxy12,105.08,2022-02-24
1000312,Nokia,Nk400,340.87,2022-02-17
1000313,Nokia,Nk400,629.74,2022-01-08
1000314,Apple,iphone13,844.07,2022-02-16
1000315,Apple,iphone13,824.49,2022-03-09
1000316,Nokia,Nk400,104.91,2022-03-08
1000317,Samsung,watch340,901.78,2022-03-22
1000318,Nokia,Nk400,551.38,2022-01-22
1000319,Samsung,galaxy13,946.15,2022-01-22
1000320,Samsung,watch320,448.18,2022-01-24
1000321,Nokia,Nk500,373.39,2022-02-05
1000322,Nokia,Nk320,802.87,2022-01-22
1000323,Apple,laptop256,634.20,2022-01-08
1000324,Nokia,Nk400,183.33,2022-02-28
1000325,Nokia,Nk320,865.45,2022-03-07
1000326,Samsung,watch340,762.66,2022-01-31
1000327,Apple,iphone11,402.79,2022-03-11
1000328,Samsung,galaxy10,397.85,2022-02-04
1000329,Samsung,galaxy11,498.49,2022-02-04
1000330,Samsung,watch320,476.29,2022-03-10
1000331,Nokia,Nk320,297.68,2022-01-11
1000332,Apple,IpadMini,954.75,2022-01-02
1000333,Nokia,Nk500,215.65,2022-02-21
1000334,Samsung,galaxy10,185.03,2022-03-24
1000335,Nokia,Nk500,390.37,2022-03-26
1000336,Samsung,galaxy10,835.01,2022-01-12
1000337,Samsung,galaxy13,900.65,2022-02-03
1000338,Samsung,galaxy13,736.04,2022-02-03
1000339,Nokia,Nk500,713.55,2022-01-23
1000340,Samsung,galaxy11,915.00,2022-01-28
1000341,Samsung,galaxy10,299.23,2022-01-23
1000342,Apple,IpadMini,105.28,2022-02-05
1000343,Nokia,Nk500,118.64,2022-02-03
1000344,Nokia,Nk500,789.51,2022-02-23
1000345,Samsung,watch340,502.64,2022-02-14
1000346,Samsung,galaxy11,266.89,2022-03-01
1000347,Nokia,Nk400,294.87,2022-01-01
1000348,Apple,IpadMax,596.22,2022-03-28
1000349,Samsung,galaxy11,655.82,2022-03-30
1000350,Samsung,watch340,157.34,2022-03-23
1000351,Samsung,galaxy10,731.12,2022-01-14
1000352,Apple,iphone13,507.02,2022-01-05
1000353,Apple,laptop256,309.40,2022-01-05
1000354,Apple,IpadMini,200.30,2022-03-27
1000355,Apple,laptop256,470.18,2022-03-29
1000356,Samsung,galaxy13,368.49,2022-03-20
1000357,Apple,Macbook512,733.16,2022-02-15
1000358,Apple,iphone13,559.48,2022-01-19
1000359,Nokia,Nk500,403.24,2022-03-14
1000360,Nokia,Nk500,225.67,2022-03-17
1000361,Nokia,Nk320,799.80,2022-01-26
1000362,Apple,laptop256,419.37,2022-03-08
1000363,Nokia,Nk400,230.12,2022-01-19
1000364,Apple,IpadMini,637.25,2022-01-01
1000365,Apple,iphone11,811.95,2022-02-15
1000366,Samsung,galaxy10,746.25,2022-03-03
1000367,Nokia,Nk400,367.26,2022-02-25
1000368,Apple,iphone13,643.21,2022-01-05
1000369,Samsung,galaxy11,865.14,2022-03-24
1000370,Samsung,watch320,723.30,2022-03-05
1000371,Apple,iphone11,794.25,2022-03-30
1000372,Samsung,galaxy12,899.68,2022-01-01
1000373,Apple,IpadMax,111.38,2022-01-10
1000374,Apple,iphone11,162.11,2022-02-09
1000375,Apple,laptop256,334.61,2022-01-05
1000376,Nokia,Nk320,834.83,2022-03-20
1000377,Apple,laptop256,289.04,2022-01-28
1000378,Samsung,galaxy10,308.59,2022-02-07
1000379,Apple,laptop256,358.42,2022-03-28
1000380,Samsung,galaxy13,621.07,2022-03-22
1000381,Nokia,Nk500,898.12,2022-03-08
1000382,Apple,iphoneSE,195.54,2022-02-16
1000383,Nokia,Nk320,821.55,2022-03-05
1000384,Nokia,Nk500,750.91,2022-01-15
1000385,Apple,IpadMax,717.59,2022-03-22
1000386,Nokia,Nk320,378.67,2022-02-02
1000387,Nokia,Nk320,676.09,2022-03-20
1000388,Nokia,Nk500,531.17,2022-02-05
1000389,Nokia,Nk320,130.10,2022-02-13
1000390,Samsung,galaxy10,175.79,2022-01-20
1000391,Nokia,Nk320,770.64,2022-03-28
1000392,Samsung,galaxy11,599.44,2022-02-14
1000393,Apple,laptop256,675.87,2022-03-07
1000394,Apple,IpadMini,250.61,2022-03-18
1000395,Nokia,Nk400,722.50,2022-02-24
1000396,Apple,IpadMini,214.32,2022-02-12
1000397,Nokia,Nk500,286.08,2022-02-06
1000398,Samsung,galaxy12,207.44,2022-01-25
1000399,Apple,iphone12,986.06,2022-01-20
1000400,Nokia,Nk400,465.64,2022-03-30
1000401,Nokia,Nk400,275.61,2022-03-12
1000402,Nokia,Nk400,791.45,2022-01-27
1000403,Nokia,Nk320,186.74,2022-03-18
1000404,Apple,iphone12,186.51,2022-03-21
1000405,Nokia,Nk500,242.02,2022-01-06
1000406,Nokia,Nk400,800.07,2022-03-17
1000407,Samsung,galaxy12,318.28,2022-01-08
1000408,Nokia,Nk320,622.98,2022-03-03
1000409,Nokia,Nk500,406.19,2022-02-11
1000410,Samsung,watch320,560.37,2022-03-27
1000411,Samsung,watch320,181.57,2022-02-17
1000412,Samsung,galaxy11,513.79,2022-02-28
1000413,Samsung,galaxy11,490.45,2022-01-13
1000414,Apple,iphone12,485.43,2022-02-10
1000415,Nokia,Nk400,102.61,2022-01-22
1000416,Nokia,Nk400,623.50,2022-03-12
1000417,Nokia,Nk320,845.71,2022-02-24
1000418,Nokia,Nk320,557.17,2022-02-21
1000419,Apple,iphone13,763.66,2022-02-03
1000420,Samsung,galaxy11,734.92,2022-02-20
1000421,Apple,IpadMini,137.26,2022-03-26
1000422,Samsung,galaxy10,458.56,2022-02-14
1000423,Samsung,galaxy10,345.54,2022-03-26
1000424,Apple,iphone12,747.32,2022-02-01
1000425,Apple,Macbook512,781.98,2022-02-27
1000426,Nokia,Nk320,503.73,2022-01-05
1000427,Samsung,galaxy12,179.20,2022-02-04
1000428,Samsung,watch320,464.96,2022-03-05
1000429,Nokia,Nk400,205.42,2022-03-08
1000430,Nokia,Nk400,319.45,2022-03-05
1000431,Nokia,Nk320,208.90,2022-02-12
1000432,Apple,IpadMax,808.43,2022-01-20
1000433,Samsung,galaxy11,477.67,2022-02-13
1000434,Apple,iphoneSE,430.63,2022-01-13
1000435,Samsung,galaxy11,363.58,2022-01-17
1000436,Nokia,Nk320,990.97,2022-01-04
1000437,Samsung,galaxy11,912.88,2022-01-24
1000438,Samsung,watch340,951.17,2022-03-04
1000439,Samsung,galaxy11,530.27,2022-01-18
1000440,Nokia,Nk320,411.77,2022-03-30
1000441,Nokia,Nk400,643.75,2022-03-16
1000442,Apple,IpadMini,411.74,2022-01-22
1000443,Apple,Macbook512,736.21,2022-01-19
1000444,Nokia,Nk320,100.07,2022-02-17
1000445,Samsung,galaxy13,902.34,2022-02-12
1000446,Samsung,watch340,476.58,2022-03-05
1000447,Nokia,Nk400,504.81,2022-01-27
1000448,Apple,iphone13,154.50,2022-03-07
1000449,Apple,Macbook512,894.16,2022-01-07
1000450,Nokia,Nk500,698.58,2022-03-02
1000451,Nokia,Nk500,320.35,2022-02-03
1000452,Apple,IpadMax,345.68,2022-01-11
1000453,Samsung,galaxy10,592.80,2022-01-13
1000454,Apple,IpadMax,169.47,2022-02-11
1000455,Apple,iphone11,730.48,2022-02-17
1000456,Apple,iphone12,445.85,2022-02-13
1000457,Samsung,galaxy10,671.74,2022-03-01
1000458,Nokia,Nk400,406.18,2022-02-16
1000459,Nokia,Nk500,889.32,2022-02-11
1000460,Apple,Macbook512,531.47,2022-02-22
1000461,Samsung,watch340,328.83,2022-01-03
1000462,Nokia,Nk320,962.47,2022-01-12
1000463,Apple,iphone13,591.47,2022-02-18
1000464,Apple,IpadMax,587.68,2022-02-26
1000465,Apple,laptop256,353.95,2022-03-21
1000466,Nokia,Nk400,856.46,2022-01-31
1000467,Apple,iphone12,464.57,2022-02-17
1000468,Nokia,Nk320,265.34,2022-03-03
1000469,Nokia,Nk320,145.12,2022-01-24
1000470,Nokia,Nk400,991.94,2022-02-13
1000471,Samsung,galaxy11,450.36,2022-01-30
1000472,Nokia,Nk400,908.00,2022-02-10
1000473,Apple,iphone11,865.90,2022-02-16
1000474,Samsung,watch320,814.84,2022-02-16
1000475,Samsung,galaxy13,146.93,2022-03-04
1000476,Nokia,Nk320,355.50,2022-03-17
1000477,Samsung,galaxy12,463.86,2022-03-07
1000478,Apple,iphoneSE,893.57,2022-02-02
1000479,Samsung,galaxy10,770.42,2022-03-13
1000480,Nokia,Nk320,486.36,2022-01-16
1000481,Nokia,Nk500,325.78,2022-01-05
1000482,Samsung,galaxy10,486.86,2022-01-08
1000483,Apple,iphone12,391.22,2022-02-23
1000484,Apple,iphone13,499.45,2022-03-16
1000485,Nokia,Nk500,223.96,2022-03-16
1000486,Apple,IpadMax,706.64,2022-01-25
1000487,Apple,iphone11,433.89,2022-01-22
1000488,Apple,laptop256,730.47,2022-03-15
1000489,Apple,iphoneSE,685.15,2022-03-30
1000490,Nokia,Nk320,398.60,2022-01-11
1000491,Samsung,watch340,863.79,2022-03-27
1000492,Nokia,Nk500,288.76,2022-01-06
1000493,Apple,iphone12,664.41,2022-02-24
1000494,Nokia,Nk320,479.54,2022-02-04
1000495,Nokia,Nk500,348.42,2022-02-14
1000496,Nokia,Nk500,479.15,2022-03-14
1000497,Samsung,galaxy12,627.34,2022-01-18
1000498,Nokia,Nk500,835.32,2022-02-22
1000499,Apple,iphone13,413.60,2022-01-27
1000500,Nokia,Nk320,812.51,2022-01-13
1000501,Samsung,watch320,394.94,2022-03-30
1000502,Apple,IpadMini,278.54,2022-02-14
1000503,Samsung,galaxy12,375.59,2022-03-17
1000504,Nokia,Nk320,644.27,2022-03-06
1000505,Samsung,galaxy11,232.43,2022-02-13
1000506,Samsung,watch320,414.14,2022-01-07
1000507,Nokia,Nk320,454.84,2022-01-18
1000508,Nokia,Nk320,918.87,2022-01-19
1000509,Samsung,galaxy11,700.84,2022-03-10
1000510,Apple,iphone13,815.66,2022-03-15
1000511,Apple,iphone13,685.42,2022-03-21
1000512,Samsung,galaxy13,855.07,2022-01-01
1000513,Apple,IpadMax,442.07,2022-03-19
1000514,Apple,iphoneSE,961.69,2022-01-16
1000515,Apple,IpadMini,470.34,2022-01-21
1000516,Apple,iphoneSE,266.81,2022-02-11
1000517,Samsung,watch320,226.62,2022-02-10
1000518,Apple,iphoneSE,648.18,2022-03-06
1000519,Nokia,Nk400,253.90,2022-01-11
1000520,Nokia,Nk500,220.43,2022-01-28
1000521,Nokia,Nk320,134.78,2022-01-09
1000522,Nokia,Nk500,281.13,2022-03-22
1000523,Samsung,galaxy11,414.23,2022-01-30
1000524,Apple,iphone11,867.09,2022-03-28
1000525,Apple,iphone11,602.56,2022-01-02
1000526,Samsung,galaxy13,918.35,2022-02-24
1000527,Samsung,watch340,104.96,2022-02-03
1000528,Nokia,Nk320,163.87,2022-01-14
1000529,Apple,iphone12,353.16,2022-02-15
1000530,Nokia,Nk320,154.05,2022-02-24
1000531,Nokia,Nk500,706.28,2022-03-15
1000532,Samsung,galaxy13,380.70,2022-03-07
1000533,Nokia,Nk500,406.05,2022-03-02
1000534,Samsung,galaxy13,964.84,2022-01-30
1000535,Samsung,watch320,791.38,2022-01-24
1000536,Apple,iphone11,309.60,2022-03-09
1000537,Nokia,Nk400,170.56,2022-01-19
1000538,Samsung,galaxy13,313.39,2022-01-04
1000539,Samsung,galaxy10,503.33,2022-03-23
1000540,Samsung,galaxy12,172.06,2022-03-13
1000541,Apple,laptop256,643.05,2022-01-08
1000542,Nokia,Nk400,397.59,2022-02-15
1000543,Apple,Macbook512,939.60,2022-02-02
1000544,Nokia,Nk500,125.47,2022-03-20
1000545,Apple,iphone11,474.89,2022-03-26
1000546,Nokia,Nk500,649.19,2022-01-24
1000547,Apple,IpadMax,437.74,2022-02-03
1000548,Samsung,galaxy10,421.24,2022-01-13
1000549,Nokia,Nk320,479.23,2022-02-10
1000550,Apple,iphoneSE,459.16,2022-02-12
1000551,Apple,IpadMax,807.74,2022-02-20
1000552,Nokia,Nk500,409.77,2022-01-19
1000553,Nokia,Nk320,100.73,2022-01-08
1000554,Nokia,Nk500,603.63,2022-01-31
1000555,Apple,iphoneSE,478.25,2022-02-26
1000556,Apple,Macbook512,426.30,2022-01-06
1000557,Apple,Macbook512,490.39,2022-03-19
